obec_id;pocet_dochadzajucich;obec;mesto_id;mesto;vzdialenost_km;vzdialenost_min
511030;57;Stankovany;510998;Ružomberok;17;20
511056;150;Štiavnička;510998;Ružomberok;4;8
511048;6;Svätý Kríž;510998;Ružomberok;24;28
511064;93;Švošov;510998;Ružomberok;16;19
511072;2;Trstené;510998;Ružomberok;32;35
507407;27;Turík;510998;Ružomberok;11;15
511099;5;Uhorská Ves;510998;Ružomberok;31;28
511102;54;Valaská Dubová;510998;Ružomberok;8;14
511111;5;Vavrišovo;510998;Ružomberok;37;33
511129;4;Važec;510998;Ružomberok;56;42
511137;0;Veľké Borové;510998;Ružomberok;47;56
511145;2;Veterná Poruba;510998;Ružomberok;33;38
511153;27;Vlachy;510998;Ružomberok;15;26
511170;6;Východná;510998;Ružomberok;46;37
511188;0;Vyšná Boca;510998;Ružomberok;57;49
511196;7;Závažná Poruba;510998;Ružomberok;31;35
511200;5;Žiar;510998;Ružomberok;36;39
