Obec trvaleho pobytu;Miesto pracoviska (obec);Periodicita dochadzky;POCET
505889;506443;1;2
505897;507288;1;1
505871;999999;2;2
506338;508021;1;1
506338;556441;1;1
505901;000000;2;5
505871;529320;1;1
506401;506401;2;11
506427;999999;2;5
506249;506249;2;1
506265;506265;2;22
506427;517402;2;1
556459;507288;1;1
506427;529460;2;1
506443;501492;1;1
556459;506524;2;1
506303;529354;2;1
506443;507008;1;2
506346;506346;2;1
506401;506443;1;1
506427;507385;1;1
506401;506001;2;1
506583;506583;1;96
506524;516287;1;1
506630;507253;2;1
556441;556441;1;43
506524;509868;1;1
506109;506206;1;4
506184;506508;1;1
506303;504891;2;2
505919;508179;2;1
506052;506001;1;3
506052;507750;1;1
505901;506150;1;1
506206;529320;2;1
506052;529320;1;1
505315;510998;1;1
505315;512834;1;1
556441;513610;1;1
505315;502995;2;1
542733;542733;2;32
543004;543004;2;28
542733;000000;2;9
542733;580449;1;15
542962;529460;2;1
505315;513962;1;1
542733;505820;1;6
543004;529354;2;2
556416;528595;1;4
542962;529460;1;1
542733;500828;1;1
505196;543047;1;14
505307;543004;1;5
505706;514454;1;4
505706;505463;1;4
543047;543047;1;170
543047;999999;1;5
556190;505439;1;6
580953;513881;1;6
505196;507156;2;1
543047;513903;1;1
556246;508438;2;1
580953;999999;1;3
505170;556190;1;2
505170;506583;2;1
505463;580953;1;1
556246;506583;2;1
505307;518158;2;1
505463;999999;2;2
505731;505315;2;8
556246;529389;2;1
505129;543004;1;1
505731;543942;2;1
505196;500500;1;1
543047;529427;1;1
505315;500577;2;1
505315;518263;2;1
512842;513601;2;4
512842;560103;1;1
512842;518034;1;2
512842;504025;2;1
512842;557447;2;3
512842;523933;1;1
512842;506001;1;1
512915;512842;1;151
512842;581984;2;1
513008;512842;1;165
512915;519529;1;1
513466;529443;2;1
513466;513687;1;2
546640;505820;1;2
513172;513466;1;7
557552;513156;1;1
557552;529435;2;1
557609;513610;2;1
513008;513156;1;2
557552;000000;2;1
513008;518913;1;1
513881;511218;1;1
513881;507253;1;2
513881;526665;2;1
513881;557706;1;3
513601;516589;2;3
513741;557510;1;14
513601;508179;1;1
513822;512842;2;1
513601;526908;2;1
557595;513563;1;1
518913;513016;2;1
558222;513610;1;1
513563;513008;2;1
513881;513296;2;1
513881;513156;2;1
513903;514331;1;5
513903;514373;1;10
513911;504998;1;2
513903;529389;1;3
513903;507156;1;1
