obecA;obecB;Periodicita dochadzky;POCET
513776;513016;1;3
510599;511196;1;1
507075;507440;1;14
510670;510599;1;5
508217;507288;1;1
523925;502031;1;1
559890;559890;1;11
556521;504009;2;4
513814;513300;1;2
503851;508217;1;44
507865;507814;1;2
507130;506745;2;1
556602;504041;1;1
507172;506745;1;11
523593;523852;1;4
555509;529362;1;1
511056;000000;2;5
513610;517461;1;8
556602;507032;2;15
523925;507989;1;1
507130;507563;1;3
507202;504998;1;1
507253;507288;1;21
507288;507768;1;6
507326;506851;2;1
556611;506745;1;2
556521;529320;1;5
507792;507253;2;5
518620;507741;1;3
507326;507741;1;7
507253;503665;1;1
507024;504033;1;5
507024;506745;2;6
556530;507768;1;3
507024;500739;1;1
556611;506966;1;2
507172;507440;1;3
556611;506745;2;1
507253;507768;1;1
556530;507253;2;3
507792;507288;1;5
556521;999999;1;4
507792;528595;2;1
507288;506800;2;1
507024;507601;1;1
556645;507288;1;2
507172;507156;2;1
507172;506851;1;1
507172;509001;2;1
507253;507431;1;1
556521;000000;2;2
507415;506885;2;1
507024;529311;1;3
513610;509132;1;1
513334;517402;1;1
513776;000000;1;63
518620;556653;1;1
507024;507172;1;4
513342;505820;2;3
513377;513334;1;2
513342;517402;2;4
513334;513377;1;20
513610;517895;1;1
513326;557471;1;1
513610;509183;1;1
513610;512036;1;3
513610;517984;1;1
513610;513385;1;1
513776;999999;1;4
557501;000000;2;9
513610;509060;2;1
513610;508381;1;1
513610;513377;2;1
513326;529460;2;1
557498;529311;2;1
513326;501905;1;1
513326;505820;2;2
513326;501026;1;1
513334;513598;1;2
513776;509132;1;1
513776;518913;1;5
513334;506567;1;1
513407;512842;2;1
513342;557498;1;1
513377;557471;1;2
513326;542652;1;1
512851;504769;2;1
513326;557692;1;1
503801;000000;1;34
508217;501808;2;1
555487;507865;2;2
503983;000000;1;74
507911;508233;1;1
555495;507806;1;25
503851;529460;1;5
508209;508276;1;1
507938;503797;1;1
508276;508217;2;3
555509;999999;2;4
507903;501433;1;3
508217;505820;1;1
508292;503681;1;1
507539;556521;1;6
506885;505820;2;2
506885;505820;1;4
506966;512036;2;1
503851;507938;1;3
507661;507253;2;10
507032;556483;1;3
507032;556521;1;6
506958;000000;2;2
506885;507288;2;1
506885;506800;1;1
503983;503681;1;4
508217;501727;1;1
507032;507661;1;11
508098;508217;2;1
508276;508331;1;2
507822;508292;1;1
555495;506745;2;3
555495;555495;2;3
507814;508292;2;1
503681;507938;1;1
503797;507814;1;1
503801;503894;1;7
503894;508047;2;1
507938;500429;2;1
508136;508276;2;1
507814;507440;1;1
507938;523381;1;1
507911;529338;2;1
507661;556670;1;1
507032;529362;1;2
503983;529419;1;1
507822;507865;1;1
503801;508136;1;1
555487;504149;1;1
503851;545333;1;1
503801;506745;1;1
507911;503011;2;1
506958;528595;1;1
507024;502031;2;1
507075;556211;1;1
507661;507156;2;2
507661;500011;2;4
555509;506818;1;1
555495;529397;1;3
506966;528595;1;2
507661;507679;1;1
507661;582387;1;1
506885;529311;1;2
507032;507938;1;1
507032;507776;1;2
506966;507768;1;2
507661;528595;2;1
507032;542652;2;1
507032;504513;1;1
512958;512958;2;2
512940;513016;1;5
507661;529346;2;1
507032;506966;2;1
503681;529354;1;1
507911;507890;1;1
503983;555487;1;1
508136;507156;2;1
507032;556670;1;2
503819;529371;1;1
507032;500453;2;1
555509;506745;1;1
555495;507741;2;1
512958;557471;1;6
506958;507563;1;1
503983;529494;2;1
500348;513326;2;2
503894;509906;2;1
510441;000000;2;18
511030;510441;1;2
510629;510998;2;37
511005;000000;2;35
513121;508179;1;1
511005;529346;1;1
510441;999999;2;10
510998;510912;1;1
512940;557498;1;2
508331;529397;1;1
508071;501433;1;1
507539;505820;1;1
507032;502413;2;1
510998;509868;2;2
510629;528595;1;6
507024;529401;1;1
512851;518158;1;1
512851;508217;1;1
512940;506559;1;1
510866;000000;1;5
513121;546640;1;1
510718;529320;2;5
510998;524140;1;2
510742;999999;1;3
511030;999999;2;8
510823;510823;2;16
523445;523658;2;3
524093;523925;1;14
524131;560103;2;24
523488;523879;1;5
523488;526355;1;2
523381;524000;2;8
523852;523518;1;11
511064;511056;1;1
511056;509906;2;1
510823;511005;1;3
523950;523381;2;6
523747;523763;2;1
523381;524093;1;6
524093;000000;2;6
510815;529346;1;5
511064;509540;1;6
510998;529354;2;1
510742;500011;2;1
510637;510301;2;2
511056;511056;2;3
512958;500348;1;2
511056;511064;1;1
523852;560103;2;4
560103;529311;1;2
510661;508560;1;1
