"","obecA","obecB","pocet","okresA","okresB","obecA_nazov","obecB_nazov"
"113","510301","510661",1,"SK0318","SK0318","Bešeòová","Liptovská Štiavnica"
"114","510301","510670",13,"SK0318","SK0318","Bešeòová","Liptovská Teplá"
"115","510301","510726",1,"SK0318","SK0315","Bešeòová","Liptovský Hrádok"
"116","510301","510734",1,"SK0318","SK0315","Bešeòová","Liptovský Ján"
"117","510301","510785",1,"SK0318","SK0318","Bešeòová","Lisková"
"118","510301","510793",1,"SK0318","SK0315","Bešeòová","¼ube¾a"
"119","510301","510815",3,"SK0318","SK0318","Bešeòová","Lúèky"
"120","510301","510831",1,"SK0318","SK0315","Bešeòová","Malatíny"
"121","510301","510904",1,"SK0318","SK0315","Bešeòová","Partizánska ¼upèa"
"122","510301","510998",23,"SK0318","SK0318","Bešeòová","Ružomberok"
"123","510301","511005",2,"SK0318","SK0318","Bešeòová","Liptovské Sliaèe"
"124","510301","511048",2,"SK0318","SK0315","Bešeòová","Svätý Kríž"
"125","510301","511056",1,"SK0318","SK0318","Bešeòová","Štiavnièka"
"126","510301","511153",3,"SK0318","SK0315","Bešeòová","Vlachy"
"127","510319","510262",28,"SK0315","SK0315","Bobrovèek","Liptovský Mikuláš"
"128","510319","510319",3,"SK0315","SK0315","Bobrovèek","Bobrovèek"
"129","510319","510327",3,"SK0315","SK0315","Bobrovèek","Bobrovec"
"130","510319","510386",1,"SK0315","SK0315","Bobrovèek","Demänovská Dolina"
"131","510319","510688",2,"SK0315","SK0315","Bobrovèek","Liptovské Beharovce"
"132","510319","510726",2,"SK0315","SK0315","Bobrovèek","Liptovský Hrádok"
"133","510319","510998",1,"SK0315","SK0318","Bobrovèek","Ružomberok"
"134","510319","511099",1,"SK0315","SK0315","Bobrovèek","Uhorská Ves"
"135","510319","511196",1,"SK0315","SK0315","Bobrovèek","Závažná Poruba"
"136","510327","510262",288,"SK0315","SK0315","Bobrovec","Liptovský Mikuláš"
"137","510327","510327",47,"SK0315","SK0315","Bobrovec","Bobrovec"
"138","510327","510386",9,"SK0315","SK0315","Bobrovec","Demänovská Dolina"
"139","510327","510408",1,"SK0315","SK0315","Bobrovec","Dúbrava"
"140","510327","510505",2,"SK0315","SK0315","Bobrovec","Jakubovany"
"141","510327","510513",5,"SK0315","SK0315","Bobrovec","Jalovec"
"142","510327","510521",1,"SK0315","SK0315","Bobrovec","Jamník"
"143","510327","510670",1,"SK0315","SK0318","Bobrovec","Liptovská Teplá"
"144","510327","510726",20,"SK0315","SK0315","Bobrovec","Liptovský Hrádok"
"145","510327","510734",5,"SK0315","SK0315","Bobrovec","Liptovský Ján"
"146","510327","510742",1,"SK0315","SK0318","Bobrovec","Liptovský Michal"
"147","510327","510751",3,"SK0315","SK0315","Bobrovec","Liptovský Ondrej"
"148","510327","510793",1,"SK0315","SK0315","Bobrovec","¼ube¾a"
"149","510327","510947",1,"SK0315","SK0315","Bobrovec","Podtureò"
"150","510327","510998",14,"SK0315","SK0318","Bobrovec","Ružomberok"
"151","510327","511048",2,"SK0315","SK0315","Bobrovec","Svätý Kríž"
"152","510327","511099",3,"SK0315","SK0315","Bobrovec","Uhorská Ves"
"153","510327","511170",1,"SK0315","SK0315","Bobrovec","Východná"
"154","510327","511196",16,"SK0315","SK0315","Bobrovec","Závažná Poruba"
"155","510327","511200",1,"SK0315","SK0315","Bobrovec","Žiar"
"156","510327","558281",1,"SK0315","SK0315","Bobrovec","Liptovská Porúbka"
"157","510335","510262",13,"SK0315","SK0315","Bobrovník","Liptovský Mikuláš"
"158","510335","510335",1,"SK0315","SK0315","Bobrovník","Bobrovník"
"159","510335","510386",1,"SK0315","SK0315","Bobrovník","Demänovská Dolina"
"160","510335","510653",2,"SK0315","SK0315","Bobrovník","Liptovská Sielnica"
"161","510335","510998",1,"SK0315","SK0318","Bobrovník","Ružomberok"
"162","510335","511013",1,"SK0315","SK0315","Bobrovník","Smreèany"
"163","510351","510262",6,"SK0315","SK0315","Bukovina","Liptovský Mikuláš"
"164","510351","510602",1,"SK0315","SK0315","Bukovina","Liptovská Anna"
"165","510351","510653",1,"SK0315","SK0315","Bukovina","Liptovská Sielnica"
"166","510351","510670",1,"SK0315","SK0318","Bukovina","Liptovská Teplá"
"167","510351","510998",1,"SK0315","SK0318","Bukovina","Ružomberok"
"168","510386","510262",7,"SK0315","SK0315","Demänovská Dolina","Liptovský Mikuláš"
"169","510386","510386",20,"SK0315","SK0315","Demänovská Dolina","Demänovská Dolina"
"170","510386","510726",2,"SK0315","SK0315","Demänovská Dolina","Liptovský Hrádok"
"171","510386","510947",1,"SK0315","SK0315","Demänovská Dolina","Podtureò"
"172","510386","510998",3,"SK0315","SK0318","Demänovská Dolina","Ružomberok"
"173","510408","507300",1,"SK0315","SK0318","Dúbrava","Ivachnová"
"174","510408","510262",142,"SK0315","SK0315","Dúbrava","Liptovský Mikuláš"
"175","510408","510386",4,"SK0315","SK0315","Dúbrava","Demänovská Dolina"
"176","510408","510408",35,"SK0315","SK0315","Dúbrava","Dúbrava"
"177","510408","510416",2,"SK0315","SK0315","Dúbrava","Galovany"
